HOSTNAME,STATO,RESPONSABILE,SISTEMA OPERATIVO,DATA EOS
2CEACC10-F3E0-40A4-91AF-01DD45AB857F,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
3D8DDCE0-8C91-4C51-B467-EEB3A8EC4D3C,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
ALT-CARVM,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
ALT-GALASSIVM1,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
ANDCON10-V,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
BULK_BIPOL_1,OPERATIVO,CAOps,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
BULK_BIPOL_2,OPERATIVO,CAOps,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
BULK_BIPOL_3,OPERATIVO,CAOps,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
BULK_BIPOL_4,OPERATIVO,CAOps,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CAP-P-PI-VD-V01,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CARCAP-V,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-0014A59B-9D68-40C8-94BC-10E94318CF64,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-018E13A3-3819-472A-A2B7-4FF45EE6BE77,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-023B9DB8-52AC-4F51-B1E5-16AD268810A3,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-0448737C-7AEC-48CE-9AB5-181451E0DCE7,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
